epoch,step,critic_loss,generator_loss,gradient_penalty,real_score_mean,fake_score_mean
1,1,8.647284507751465,-0.06474515795707703,0.9609285593032837,1.003265380859375,0.04126483574509621
1,2,-40.43168640136719,-1.134108304977417,0.21120482683181763,43.31697082519531,0.7732359170913696
1,3,-244.328125,-51.164756774902344,9.71535587310791,380.2429504394531,38.761253356933594
1,4,-332.85333251953125,-107.12287902832031,19.60089111328125,628.31591796875,99.45369720458984
1,5,-348.311279296875,-135.28346252441406,23.52239227294922,721.6312255859375,138.09600830078125
1,6,-341.33160400390625,-131.58413696289062,28.62042808532715,793.0315551757812,165.49566650390625
1,7,-328.747802734375,-184.0758514404297,16.88037872314453,641.1262817382812,143.57470703125
1,8,-320.9353942871094,-173.4237518310547,21.648611068725586,716.3920288085938,178.97052001953125
1,9,-322.509521484375,-168.3982696533203,23.013782501220703,744.0318603515625,191.384521484375
1,10,-328.9091491699219,-206.97616577148438,14.35030746459961,619.0890502929688,146.6768341064453
1,11,-348.88787841796875,-156.7096405029297,21.76214599609375,723.2534790039062,156.74415588378906
1,12,-398.1567687988281,-154.50149536132812,22.605239868164062,766.9510498046875,142.7418670654297
1,13,-408.11383056640625,-149.89093017578125,24.965728759765625,818.337646484375,160.56651306152344
1,14,-374.4908752441406,-164.43063354492188,24.940433502197266,781.9234619140625,158.02825927734375
1,15,-357.4799499511719,-157.52252197265625,25.31058692932129,787.9864501953125,177.40066528320312
1,16,-333.72900390625,-198.69129943847656,22.000560760498047,720.7906494140625,167.05599975585938
1,17,-326.09552001953125,-233.01942443847656,18.662635803222656,692.177490234375,179.45562744140625
1,18,-334.08172607421875,-209.75445556640625,22.138336181640625,788.264892578125,232.79977416992188
1,19,-329.1192321777344,-244.59390258789062,20.750173568725586,766.716796875,230.09584045410156
1,20,-318.0364990234375,-208.4494171142578,22.140369415283203,792.9560546875,253.51589965820312
1,21,-327.17926025390625,-267.958740234375,17.092517852783203,708.791259765625,210.6868133544922
1,22,-316.24151611328125,-177.94967651367188,25.617321014404297,837.36572265625,264.95098876953125
1,23,-320.5758056640625,-253.4093017578125,17.94275665283203,692.65869140625,192.65530395507812
1,24,-318.0953063964844,-148.71875,29.415103912353516,909.3343505859375,297.0879821777344
1,25,-353.4163513183594,-288.6414794921875,19.347183227539062,782.28173828125,235.3935546875
1,26,-339.4556884765625,-191.56417846679688,26.172142028808594,896.274658203125,295.0975341796875
1,27,-356.4227294921875,-316.35833740234375,19.217079162597656,764.3800659179688,215.78656005859375
1,28,-363.8580017089844,-228.52862548828125,23.421127319335938,882.1170654296875,284.04779052734375
1,29,-364.634521484375,-305.9791259765625,17.79266357421875,764.523681640625,221.96253967285156
1,30,-364.285400390625,-203.1949462890625,24.214893341064453,907.3475341796875,300.9132080078125
1,31,-368.0512390136719,-324.55291748046875,19.48746681213379,778.7655029296875,215.83956909179688
1,32,-360.0251770019531,-178.90713500976562,26.796751022338867,934.355712890625,306.3630065917969
1,33,-354.9722900390625,-317.5504150390625,18.788898468017578,708.5614013671875,165.70013427734375
1,34,-352.2235412597656,-164.50430297851562,31.552793502807617,1004.1396484375,336.3882141113281
1,35,-376.6396179199219,-354.21942138671875,20.444570541381836,783.370361328125,202.28506469726562
1,36,-387.3570556640625,-262.6356201171875,24.171173095703125,933.6801147460938,304.611328125
1,37,-361.29730224609375,-354.20513916015625,22.02971649169922,763.2352294921875,181.64071655273438
1,38,-360.851806640625,-222.59588623046875,28.287029266357422,946.754150390625,303.03204345703125
1,39,-350.87451171875,-300.56512451171875,21.712427139282227,781.2604370117188,213.26165771484375
1,40,-339.76422119140625,-172.6044921875,31.29884147644043,1012.9349365234375,360.18231201171875
1,41,-358.33367919921875,-325.62884521484375,19.1351375579834,782.7838745117188,233.09884643554688
1,42,-331.96234130859375,-218.24603271484375,24.71698760986328,859.9043579101562,280.77215576171875
1,43,-316.99017333984375,-346.01519775390625,15.054288864135742,620.5997924804688,153.0667266845703
1,44,-348.482666015625,-295.9215087890625,23.261632919311523,860.7203369140625,279.621337890625
1,45,-339.2948303222656,-219.2554931640625,25.71273422241211,947.511474609375,351.08929443359375
1,46,-333.02947998046875,-353.9639892578125,17.34455108642578,726.6090698242188,220.13409423828125
1,47,-331.83807373046875,-235.7330780029297,24.5377140045166,884.1263427734375,306.9111328125
1,48,-314.7453308105469,-343.3189392089844,16.140010833740234,651.5856323242188,175.440185546875
1,49,-356.28167724609375,-279.1864013671875,20.76850128173828,857.5521240234375,293.58544921875
1,50,-333.9189758300781,-350.9754333496094,18.297555923461914,717.2142944335938,200.31973266601562
1,51,-376.69921875,-323.75885009765625,19.53822135925293,834.3919677734375,262.310546875
1,52,-355.8000183105469,-335.8626708984375,18.758365631103516,779.4625244140625,236.07887268066406
1,53,-326.2042541503906,-214.3528289794922,28.274642944335938,952.183837890625,343.233154296875
1,54,-334.3717041015625,-277.2336120605469,29.13579559326172,935.3360595703125,309.60638427734375
1,55,-334.79046630859375,-196.9775390625,29.972938537597656,1014.4073486328125,379.88751220703125
1,56,-358.3099365234375,-307.0301513671875,26.575708389282227,963.0074462890625,338.9404296875
1,57,-379.1279602050781,-300.684326171875,27.69955825805664,1043.7425537109375,387.6190185546875
1,58,-339.1090393066406,-373.538818359375,17.48855972290039,724.0130615234375,210.01840209960938
1,59,-335.92193603515625,-264.42083740234375,30.057209014892578,1002.7205810546875,366.2265625
1,60,-353.70599365234375,-314.9019775390625,27.445404052734375,1021.3438110351562,393.1837463378906
1,61,-338.2394714355469,-378.089111328125,22.776565551757812,877.85791015625,311.8528137207031
1,62,-351.87738037109375,-334.1700439453125,26.507366180419922,983.7874755859375,366.8363952636719
1,63,-356.78375244140625,-308.5669860839844,25.368202209472656,1015.7717895507812,405.3060302734375
1,64,-340.2440185546875,-393.9952087402344,18.403112411499023,814.34130859375,290.0661315917969
1,65,-350.54119873046875,-292.5798034667969,30.181243896484375,1092.554931640625,440.2012939453125
1,66,-345.0205078125,-330.8533935546875,23.915014266967773,979.6607666015625,395.4901428222656
1,67,-332.95648193359375,-379.7118835449219,19.504291534423828,842.7557373046875,314.7563781738281
1,68,-310.12957763671875,-212.92547607421875,33.954078674316406,1131.021728515625,481.35137939453125
1,69,-350.4998779296875,-357.0927429199219,23.743507385253906,969.86376953125,381.9288330078125
1,70,-329.3558044433594,-272.7043151855469,25.093997955322266,974.8516845703125,394.555908203125
1,71,-337.97747802734375,-391.78216552734375,22.248674392700195,856.20703125,295.7427978515625
1,72,-369.03582763671875,-475.24267578125,18.368349075317383,841.6143798828125,288.89508056640625
1,73,-383.27764892578125,-385.11419677734375,22.575592041015625,975.3657836914062,366.33221435546875
1,74,-366.1697082519531,-304.9054870605469,27.626583099365234,1060.302490234375,417.866943359375
1,75,-396.390625,-446.29541015625,23.52210807800293,1051.84033203125,420.2286682128906
1,76,-403.7619323730469,-467.046875,22.631954193115234,1015.1130981445312,385.0316162109375
1,77,-400.6760559082031,-461.33123779296875,25.204341888427734,1062.81982421875,410.100341796875
1,78,-402.1766662597656,-404.16180419921875,30.927549362182617,1210.087890625,498.6357421875
1,79,-359.6574401855469,-405.69940185546875,26.223220825195312,972.5805053710938,350.69085693359375
1,80,-392.1214904785156,-486.3581237792969,20.943490982055664,1006.5787353515625,405.0223083496094
1,81,-390.693359375,-382.9517822265625,28.159313201904297,1170.21728515625,497.9307861328125
1,82,-361.0940856933594,-332.87261962890625,30.537904739379883,1130.89404296875,464.4208984375
1,83,-367.0137939453125,-528.1187744140625,19.7611083984375,881.40087890625,316.7760314941406
1,84,-362.3362731933594,-444.91778564453125,20.79134750366211,921.5743408203125,351.3245544433594
1,85,-368.2580261230469,-313.7676086425781,30.344816207885742,1205.668701171875,533.9625244140625
1,86,-361.34625244140625,-454.48809814453125,24.559356689453125,1025.6966552734375,418.7568359375
1,87,-358.6726989746094,-339.50579833984375,27.732784271240234,1114.4791259765625,478.47857666015625
1,88,-350.9578552246094,-319.33349609375,26.956039428710938,1008.769775390625,388.25152587890625
1,89,-351.6256103515625,-358.641845703125,28.913795471191406,1005.3751220703125,364.6115417480469
1,90,-385.1282653808594,-526.881591796875,22.570175170898438,986.0997924804688,375.269775390625
1,91,-353.02142333984375,-352.757568359375,26.891992568969727,1029.85986328125,407.91851806640625
1,92,-365.2445983886719,-385.2803649902344,26.786422729492188,1056.76025390625,423.65142822265625
1,93,-380.2299499511719,-504.02935791015625,22.882827758789062,964.9423828125,355.8841552734375
1,94,-350.71539306640625,-396.0018615722656,23.907032012939453,953.464111328125,363.67840576171875
1,95,-363.71209716796875,-363.5693664550781,24.734729766845703,1056.2772216796875,445.21783447265625
1,96,-379.8011169433594,-425.2518005371094,26.68680763244629,1161.0189208984375,514.3497314453125
1,97,-336.3914794921875,-380.3233642578125,23.488422393798828,961.52490234375,390.24920654296875
1,98,-336.1270446777344,-404.35821533203125,21.284244537353516,904.0451049804688,355.0755920410156
1,99,-333.80145263671875,-378.32867431640625,24.867347717285156,1003.0015869140625,420.52667236328125
1,100,-311.0410461425781,-410.59405517578125,20.21218490600586,868.8968505859375,355.73394775390625
1,101,-363.4475402832031,-457.85797119140625,25.790328979492188,1165.0029296875,543.652099609375
1,102,-357.8416748046875,-536.51611328125,18.453571319580078,1013.8180541992188,471.440673828125
1,103,-339.845703125,-484.2991943359375,18.438762664794922,898.0878295898438,373.8544921875
