metric,real_mean,generated_mean,absolute_mean_error,relative_mean_error
fracture_pixel_ratio,0.319266676902771,0.32075977325439453,0.0014930963516235352,0.00467664311021037
num_connected_components,5.65234375,13.21875,7.56640625,1.338631649324881
largest_component_ratio,0.7815705281638199,0.8126051734530133,0.03103464528919342,0.03970805419828715
mean_component_area,1529.4064258576711,478.399282877629,1051.007142980042,0.6871993769633726
skeleton_length,1344.439453125,1385.125,40.685546875,0.03026208936380761
endpoint_count,41.318359375,48.734375,7.416015625,0.17948475533353997
junction_count,651.171875,622.140625,29.03125,0.04458308338263867
hough_line_count,246.380859375,269.625,23.244140625,0.09434231491448046
orientation_l1_distance,,0.063781151845892,,
