metric,real_mean,generated_mean,absolute_mean_error,relative_mean_error
fracture_pixel_ratio,0.319266676902771,0.3352384567260742,0.015971779823303223,0.05002645273845074
num_connected_components,5.65234375,9.4375,3.78515625,0.669661367163557
largest_component_ratio,0.7815705281638199,0.8481569058340463,0.06658637767022646,0.08519560860963482
mean_component_area,1529.4064258576711,688.9578525275895,840.4485733300817,0.5495259854510379
skeleton_length,1344.439453125,1393.0,48.560546875,0.03611954912641489
endpoint_count,41.318359375,42.3125,0.994140625,0.02406050578477004
junction_count,651.171875,649.015625,2.15625,0.0033113377324026573
hough_line_count,246.380859375,273.234375,26.853515625,0.10899189040914141
orientation_l1_distance,,0.059606306513581085,,
