metric,real_mean,generated_mean,absolute_mean_error,relative_mean_error
fracture_pixel_ratio,0.31942713260650635,0.2852506637573242,0.03417646884918213,0.10699300181664022
num_connected_components,5.650390625,19.171875,13.521484375,2.393017624523937
largest_component_ratio,0.7818957136580675,0.6357990631960333,0.14609665046203424,0.1868492767533335
mean_component_area,1532.6158772461263,264.5685084838698,1268.0473687622566,0.8273745480390481
skeleton_length,1345.568359375,885.3125,460.255859375,0.34205312287913986
endpoint_count,618.490234375,307.28125,311.208984375,0.5031752598073804
junction_count,0.341796875,4.859375,4.517578125,13.217142470447031
hough_line_count,247.603515625,243.78125,3.822265625,0.015437041009686308
orientation_l1_distance,,0.08097148998913027,,
