sample_id,fracture_pixel_ratio,num_connected_components,largest_component_ratio,mean_component_area,skeleton_length,endpoint_count,junction_count,hough_line_count,orientation_bin_00,orientation_bin_01,orientation_bin_02,orientation_bin_03,orientation_bin_04,orientation_bin_05,orientation_bin_06,orientation_bin_07,orientation_bin_08,orientation_bin_09,orientation_bin_10,orientation_bin_11,orientation_bin_12,orientation_bin_13,orientation_bin_14,orientation_bin_15,orientation_bin_16,orientation_bin_17
step_0031000_binary_000,0.27459716796875,13.0,0.9593242942876195,346.0769230769231,1261.0,516.0,3.0,196.0,0.08539291663862353,0.03157787193311082,0.035862351994371634,0.035520331046419176,0.05842146423043968,0.04413179056949301,0.0158066180898424,0.08017799895894806,0.03586508685598892,0.06945740861193297,0.10466759146153079,0.008650271444057918,0.03059654292322333,0.05555466066016052,0.028654575991884475,0.20872709964611252,0.027001664777351234,0.0439337541665091
step_0031000_binary_001,0.34490966796875,11.0,0.8961245797204035,513.7272727272727,1581.0,672.0,3.0,329.0,0.08229276989790765,0.01882816351516188,0.010642279341643666,0.018499217061699172,0.05646718785483632,0.04138382321393154,0.05305696039161415,0.07314027935594336,0.11155657730640403,0.19104528827562087,0.049804313667115456,0.030108797845355906,0.04344934924414589,0.04078255831709315,0.04668080181262046,0.031684715351605726,0.049835662791501895,0.05074125475579887
step_0031000_binary_002,0.260498046875,12.0,0.482427366447985,355.6666666666667,1006.0,420.0,3.0,186.0,0.08748465237725404,0.05590267147983643,0.23250879666571903,0.023606718835863565,0.05816787573821817,0.019408648788623913,0.11463550481940547,0.02840242614768227,0.0,0.01997658323763585,0.004564848123782552,0.03175393017811297,0.06574246998587213,0.08494466125647776,0.03550697015293423,0.07109658906715896,0.03877767123689129,0.027518981908531304
step_0031000_binary_003,0.22900390625,10.0,0.5346481876332623,375.2,962.0,450.0,3.0,178.0,0.06929748422267741,0.011507114044834838,0.030109981986567863,0.006150843016332892,0.045857006989360155,0.07251902923319083,0.042287177360320595,0.024922807810123102,0.08086883110847769,0.2783394517631323,0.016107584872505503,0.022206344276865474,0.10837956985783408,0.010501527942934888,0.010174588700697148,0.0617150799842393,0.0849937917529121,0.02406178507699404
step_0031000_binary_004,0.4525146484375,9.0,0.9867817642298354,823.7777777777778,1902.0,831.0,4.0,372.0,0.08103367587270245,0.05746420152930485,0.0981418771544851,0.07007496325330562,0.07480209157853028,0.04130918351627796,0.010207273465313688,0.034035795947152364,0.06845447873455043,0.08665491251766706,0.039949056765041985,0.08033366476983382,0.040586931334286945,0.056160971328856016,0.01838243617003237,0.020891934767419983,0.0666542364972704,0.054862314797968874
step_0031000_binary_005,0.39501953125,13.0,0.8414709517923362,497.84615384615387,1644.0,710.0,4.0,345.0,0.13020828255204378,0.1526826300680204,0.09155236877907515,0.060280103399240656,0.05248418773449429,0.024353031011126406,0.03628304807090849,0.040723602780130326,0.04468403523495274,0.035701092449124346,0.02932553025084362,0.0052425939801958085,0.040247849760311226,0.03411094365383736,0.07426195740471339,0.0438707742464104,0.04817312901387566,0.055814839610695964
step_0031000_binary_006,0.34222412109375,6.0,0.9165329052969502,934.5,1536.0,700.0,7.0,264.0,0.06982893569109712,0.03436976587227866,0.04062873153979102,0.03245000967265352,0.06300251490085236,0.04782507796460461,0.00934462801470313,0.020411176072035884,0.031460546190224314,0.11543471111234174,0.02169837992549708,0.11933226518295162,0.22293763381468526,0.028104309919777554,0.01845587416142818,0.045696792590056864,0.05707324094132668,0.021945406433694414
step_0031000_binary_007,0.216796875,12.0,0.8369932432432432,296.0,1002.0,452.0,2.0,160.0,0.09659792078775949,0.0419945677336424,0.07962301842061718,0.0865416491079397,0.028846800417311243,0.015101083020353515,0.017978239342930358,0.0520809725457058,0.008830797960603098,0.0630152649213701,0.046209498324398794,0.06924843076525419,0.07597806753628072,0.04356873990404472,0.10312744128310142,0.09319435453461601,0.011567306171591296,0.06649584722247981
step_0031000_binary_008,0.17755126953125,10.0,0.5434857339291853,290.9,825.0,388.0,4.0,138.0,0.06910822352037714,0.012505577320205918,0.04124947212414496,0.026631327674127254,0.15221191335774364,0.10503128196161539,0.06738854869333656,0.12265311815853966,0.0258320097963988,0.04723784579866934,0.03934995210900347,0.02157046472148421,0.0176866035242835,0.06545836754731056,0.12031664037382583,0.05129320189510093,0.0,0.014475451423832787
step_0031000_binary_009,0.34466552734375,13.0,0.9167699663538161,434.38461538461536,1486.0,723.0,4.0,296.0,0.020720417457683417,0.038509275034770106,0.061692633846572635,0.10868332926715064,0.2875446421733189,0.12835517734218108,0.043402199467065,0.02054793874032763,0.02483426168570229,0.021527456887804483,0.024334436652083367,0.009214791550564719,0.04471100790973157,0.049667309802522534,0.030283727698997256,0.026855422294908532,0.025614261814981335,0.0335017103736347
step_0031000_binary_010,0.45263671875,12.0,0.973705501618123,618.0,1900.0,835.0,6.0,377.0,0.07435836952201978,0.07836229735659013,0.08218456853438223,0.042733695092537466,0.03195095658340733,0.03421789999107133,0.019652527644765307,0.011440606635007924,0.03627981120563532,0.0478673090704348,0.08248501008602083,0.06889624664991857,0.06001003967520152,0.045599294959722404,0.0858880121482359,0.05685031650075526,0.07627251777833782,0.06495052056595613
step_0031000_binary_011,0.2510986328125,13.0,0.8111327175498299,316.46153846153845,1120.0,434.0,2.0,198.0,0.12701119279837006,0.03232983370859056,0.06920355883095479,0.05021242730528965,0.013178033293936896,0.027679932517931393,0.0,0.0051900021294892,0.00500703743678526,0.0361378771934122,0.06091388421359024,0.019172373555797335,0.014619400619446792,0.038939230617120034,0.07050510551555403,0.0706136593129491,0.2236258475781815,0.13566060337260094
step_0031000_binary_012,0.4022216796875,18.0,0.9620637329286799,366.1111111111111,1711.0,757.0,10.0,392.0,0.08699900209033135,0.04318133974225447,0.06381027243822848,0.02808299969982441,0.036584257402194904,0.0644558054623203,0.0638605566294431,0.0712516023212012,0.05575677434154036,0.0892686973500562,0.04852805856718243,0.025451814231491676,0.0096339655508005,0.057157479178187566,0.0774903439417742,0.08999000780334279,0.051060756120323327,0.03743626712950271
