metric,real_mean,generated_mean,absolute_mean_error,relative_mean_error
fracture_pixel_ratio,0.31942713260650635,0.3226299285888672,0.00320279598236084,0.010026687012963947
num_connected_components,5.650390625,11.109375,5.458984375,0.9661251279133908
largest_component_ratio,0.7818957136580675,0.8398645491912495,0.057968835533181995,0.07413883178945799
mean_component_area,1532.6158772461263,531.08617249657,1001.5297047495562,0.6534773126209651
skeleton_length,1345.568359375,1389.859375,44.291015625,0.03291621366991973
endpoint_count,618.490234375,602.046875,16.443359375,0.026586287803477715
junction_count,0.341796875,3.640625,3.298828125,9.651428289055355
hough_line_count,247.603515625,268.515625,20.912109375,0.08445804705708293
orientation_l1_distance,,0.07105783417764341,,
