metric,real_mean,generated_mean,absolute_mean_error,relative_mean_error
fracture_pixel_ratio,0.319266676902771,0.3266611099243164,0.00739443302154541,0.02316067828209493
num_connected_components,5.65234375,12.4375,6.78515625,1.2004146488783265
largest_component_ratio,0.7815705281638199,0.8734201595751048,0.09184963141128488,0.11751931134337727
mean_component_area,1529.4064258576711,491.76235346491086,1037.6440723927603,0.6784619541558933
skeleton_length,1344.439453125,1404.90625,60.466796875,0.04497547043416638
endpoint_count,41.318359375,47.25,5.931640625,0.14355944217749825
junction_count,651.171875,638.3125,12.859375,0.019748050389618747
hough_line_count,246.380859375,275.3125,28.931640625,0.11742649448182498
orientation_l1_distance,,0.08630467119280869,,
