sample_id,fracture_pixel_ratio,num_connected_components,largest_component_ratio,mean_component_area,skeleton_length,endpoint_count,junction_count,hough_line_count,orientation_bin_00,orientation_bin_01,orientation_bin_02,orientation_bin_03,orientation_bin_04,orientation_bin_05,orientation_bin_06,orientation_bin_07,orientation_bin_08,orientation_bin_09,orientation_bin_10,orientation_bin_11,orientation_bin_12,orientation_bin_13,orientation_bin_14,orientation_bin_15,orientation_bin_16,orientation_bin_17
step_0015600_binary_000,0.23419189453125,15.0,0.4396664060463904,255.8,724.0,194.0,2.0,205.0,0.14393230102098728,0.03911626769375114,0.04774940262764293,0.03241982674141702,0.03835549034684675,0.019935350582835253,0.030885255761150556,0.028192820958071765,0.13592455605565182,0.1278106109013555,0.03077561752694429,0.020837416833654032,0.04007439833045383,0.022719858781439235,0.06558326684701621,0.026272865675765457,0.10638665070508448,0.043028042609932565
step_0015600_binary_001,0.26373291015625,12.0,0.762092108308262,360.0833333333333,799.0,241.0,2.0,208.0,0.04959972152443373,0.02998496414945732,0.03272638950264582,0.01331034691371036,0.05389029644484968,0.01789992203470547,0.04909572479896542,0.04980273397196621,0.10488289268758592,0.1246681611895659,0.08542285728512046,0.05991305593118335,0.03877514840684978,0.05281309086589773,0.0502022964605596,0.06807655153894986,0.10727014124023167,0.011665705053321656
step_0015600_binary_002,0.17242431640625,15.0,0.5776991150442478,188.33333333333334,594.0,174.0,3.0,140.0,0.10289719035664319,0.020894084855999844,0.02777852522544267,0.018036300968685668,0.019876375288057902,0.011919753927431814,0.04185982739313442,0.09394100929874802,0.04442694143827937,0.01985174294675405,0.2738126514047012,0.02328814630955312,0.012837434975736532,0.05731697634538733,0.029940128855907133,0.08403973676069404,0.0747363863003908,0.042546787348452936
step_0015600_binary_003,0.3048095703125,18.0,0.7963556267521025,277.44444444444446,841.0,241.0,5.0,226.0,0.052067832482693255,0.020666035408185044,0.02315143441566023,0.009092871686141903,0.054193388351064326,0.04426153979424511,0.08766837706412817,0.08611707286654843,0.04035125920095045,0.15080137467158825,0.12645012151504822,0.04771687257325413,0.031097785014733256,0.03934652092241162,0.048754897461510974,0.05379837349095631,0.07219227098822319,0.012271972092657133
step_0015600_binary_004,0.23834228515625,19.0,0.44276568501920616,205.52631578947367,708.0,259.0,4.0,191.0,0.11128966360474377,0.008319705036674492,0.005585897102603197,0.04388870530925793,0.08418007413859141,0.06319066648425636,0.030074135453551174,0.031767554075103836,0.0259960593854882,0.09057802465203252,0.037827723759459114,0.03606946253728431,0.02030717689560602,0.03787071656796917,0.04138301883090241,0.19758651056461732,0.11461823086267092,0.019466674739187787
step_0015600_binary_005,0.185791015625,17.0,0.3764783180026281,179.05882352941177,590.0,184.0,3.0,167.0,0.11343907394874472,0.07626573776069506,0.03489801087810197,0.020884162956593774,0.029645898384956338,0.022494928224354116,0.05134598059108458,0.032100623756800575,0.014533132312579055,0.049459829740519066,0.08997602272439521,0.06966187970239131,0.02843798180970914,0.1738989589186494,0.038234728799020685,0.019625142289405713,0.043709176114689795,0.09138873108730955
step_0015600_binary_006,0.26483154296875,14.0,0.32749481447338097,309.92857142857144,744.0,223.0,2.0,212.0,0.057239122256566556,0.059938521753836974,0.016343104635705655,0.0269027198314282,0.05669181529200459,0.08670554375898722,0.07205864380334599,0.1658845519149011,0.041198157083537815,0.10442626481892993,0.04292142777222872,0.07021716163623774,0.031754819520710256,0.03513458928323932,0.03408429088250729,0.03164522626620918,0.05283769472446407,0.014016344765159427
step_0015600_binary_007,0.21893310546875,16.0,0.7005854474491219,224.1875,689.0,238.0,4.0,185.0,0.061728446025359644,0.01969898504077322,0.09308014260245714,0.061997281156764596,0.06512418670391666,0.019740167358320942,0.019032773365884003,0.05759565424482936,0.027252097732904993,0.08772422293469723,0.013485184235873299,0.08140588531485345,0.053520212178108525,0.07591664613846386,0.021747276272457563,0.09978509361906451,0.12516660354609047,0.01599914152918064
step_0015600_binary_008,0.26800537109375,20.0,0.6570257344568435,219.55,749.0,233.0,2.0,211.0,0.034656126712733645,0.06098046092405965,0.11740550781203521,0.10004177573965113,0.10474849211908961,0.03836705157570192,0.12032537790036962,0.048410259274413885,0.09213145870394708,0.02509417738047381,0.0317205778902316,0.029257892509675233,0.04008599130294384,0.016314217368845176,0.01482032770601359,0.013530574472595267,0.06189471417903536,0.0502150164281843
step_0015600_binary_009,0.16259765625,17.0,0.5379129129129129,156.7058823529412,517.0,146.0,4.0,152.0,0.11981885627391978,0.031809436339218365,0.023521839402581696,0.03619801177954838,0.030121936093858277,0.033512113943593706,0.0937049559937835,0.023137078948340717,0.06226267508014669,0.08162161622271145,0.013185018563106363,0.04099396682238498,0.08165508048275329,0.16370314718737675,0.03899437691887097,0.059483326240662694,0.017073640892281073,0.049202922814861126
