metric,real_mean,generated_mean,absolute_mean_error,relative_mean_error
fracture_pixel_ratio,0.319266676902771,0.29339599609375,0.025870680809020996,0.08103156975127698
num_connected_components,5.65234375,17.09375,11.44140625,2.0241879715397917
largest_component_ratio,0.7815705281638199,0.7648044755089276,0.016766052654892283,0.02145174598607766
mean_component_area,1529.4064258576711,336.8355217453228,1192.5709041123482,0.7797606208145572
skeleton_length,1344.439453125,1246.546875,97.892578125,0.07281293173651775
endpoint_count,41.318359375,52.015625,10.697265625,0.25889860546794796
junction_count,651.171875,534.5,116.671875,0.1791721655641351
hough_line_count,246.380859375,250.328125,3.947265625,0.016020991382418706
orientation_l1_distance,,0.06878676933608104,,
