epoch,loss,predicted_velocity_norm,step,t_mean,target_velocity_norm
0,1.1018556356430054,118.66948699951172,49,0.5445784330368042,180.91143798828125
0,0.9848775863647461,128.94627380371094,99,0.48847371339797974,180.96762084960938
0,0.8381573557853699,135.72354125976562,149,0.5086779594421387,181.01632690429688
0,0.7537250518798828,139.47740173339844,199,0.4901526868343353,180.990478515625
0,0.7218084335327148,140.57296752929688,249,0.5168977975845337,180.97805786132812
0,0.6503230333328247,143.73468017578125,299,0.506763219833374,181.15863037109375
0,0.6087464094161987,153.29759216308594,349,0.5051836967468262,180.93154907226562
0,0.5528892278671265,152.06329345703125,399,0.5073686838150024,180.90704345703125
0,0.5757192373275757,149.0962677001953,449,0.4869048595428467,181.1737518310547
1,0.4947133958339691,157.19960021972656,499,0.5285892486572266,180.93499755859375
1,0.5006210803985596,154.49227905273438,549,0.49529823660850525,180.78482055664062
1,0.4863225817680359,151.30824279785156,599,0.5186353921890259,181.00938415527344
1,0.552376389503479,149.22381591796875,649,0.45073866844177246,181.08953857421875
1,0.4817802906036377,159.76004028320312,699,0.5051407814025879,180.959716796875
1,0.4757811725139618,160.34463500976562,749,0.5297760963439941,181.2010955810547
1,0.47247692942619324,158.041015625,799,0.5004686117172241,180.94264221191406
1,0.4361779987812042,159.89869689941406,849,0.5536915063858032,181.00985717773438
1,0.45615896582603455,155.82965087890625,899,0.4989994168281555,181.11279296875
2,0.4295511543750763,161.85101318359375,949,0.476340651512146,181.018310546875
2,0.38842254877090454,160.51934814453125,999,0.5658667087554932,180.90478515625
2,0.4361162781715393,151.56777954101562,1049,0.534431517124176,180.90505981445312
2,0.4306565523147583,150.14486694335938,1099,0.5211286544799805,180.9041748046875
2,0.4485207796096802,158.93150329589844,1149,0.5170769095420837,181.03448486328125
2,0.4630996882915497,155.60760498046875,1199,0.4533612132072449,180.94992065429688
2,0.4005863070487976,158.96588134765625,1249,0.5508400797843933,181.0375518798828
2,0.4136255383491516,162.9693603515625,1299,0.4961526393890381,180.99163818359375
